timestamp,weekday,hour,direction,line
2026-06-06T06:30:00+02:00,Sa,06,Praterstern,REX1
2026-06-06T07:00:00+02:00,Sa,07,Praterstern,REX1
2026-06-06T07:20:00+02:00,Sa,07,Praterstern,REX3
2026-06-06T07:30:00+02:00,Sa,07,Praterstern,S1
2026-06-06T07:39:00+02:00,Sa,07,Meidling,REX3
2026-06-06T07:50:00+02:00,Sa,07,Praterstern,REX3
2026-06-06T12:03:00+02:00,Sa,12,Praterstern,CJX9
2026-06-06T12:53:00+02:00,Sa,12,Meidling,CJX9
2026-06-06T15:17:00+02:00,Sa,15,Meidling,S1
2026-06-06T22:20:00+02:00,Sa,22,Praterstern,S1
2026-06-07T08:23:00+02:00,So,08,Meidling,REX92
2026-06-07T15:17:00+02:00,So,15,Meidling,S1
2026-06-07T15:42:00+02:00,So,15,Meidling,S2
2026-06-07T16:45:00+02:00,So,16,Praterstern,S2
2026-06-08T08:00:00+02:00,Mo,08,Praterstern,S1
2026-06-08T08:17:00+02:00,Mo,08,Meidling,S1
2026-06-08T08:57:00+02:00,Mo,08,Praterstern,S3
2026-06-08T11:42:00+02:00,Mo,11,Meidling,S2
2026-06-08T12:45:00+02:00,Mo,12,Praterstern,S2
2026-06-08T15:29:00+02:00,Mo,15,Meidling,REX1
2026-06-08T15:20:00+02:00,Mo,15,Praterstern,REX3
2026-06-08T15:50:00+02:00,Mo,15,Praterstern,REX3
2026-06-08T16:20:00+02:00,Mo,16,Praterstern,REX3
2026-06-08T17:09:00+02:00,Mo,17,Meidling,REX3
2026-06-08T17:20:00+02:00,Mo,17,Praterstern,REX3
2026-06-08T17:42:00+02:00,Mo,17,Meidling,S2
2026-06-08T18:45:00+02:00,Mo,18,Praterstern,S2
2026-06-08T18:50:00+02:00,Mo,18,Praterstern,REX3
2026-06-08T19:50:00+02:00,Mo,19,Meidling,S3
2026-06-08T20:09:00+02:00,Mo,20,Praterstern,S1
2026-06-08T21:20:00+02:00,Mo,21,Praterstern,S3
2026-06-08T22:09:00+02:00,Mo,22,Meidling,S1
2026-06-08T22:39:00+02:00,Mo,22,Praterstern,S1
2026-06-08T23:20:00+02:00,Mo,23,Praterstern,S1
2026-06-09T05:17:00+02:00,Di,05,Meidling,S1
2026-06-09T05:42:00+02:00,Di,05,Praterstern,S1
2026-06-09T06:29:00+02:00,Di,06,Meidling,REX1
2026-06-09T07:00:00+02:00,Di,07,Praterstern,REX1
2026-06-09T07:03:00+02:00,Di,07,Praterstern,REX1
2026-06-09T07:09:00+02:00,Di,07,Praterstern,S3
2026-06-09T08:17:00+02:00,Di,08,Meidling,S1
2026-06-09T08:33:00+02:00,Di,08,Praterstern,REX1
2026-06-09T09:29:00+02:00,Di,09,Meidling,REX1
2026-06-09T09:12:00+02:00,Di,09,Praterstern,S1
2026-06-09T14:12:00+02:00,Di,14,Meidling,S2
2026-06-09T15:15:00+02:00,Di,15,Praterstern,S2
2026-06-09T16:09:00+02:00,Di,16,Praterstern,R3
2026-06-09T17:09:00+02:00,Di,17,Meidling,REX3
2026-06-09T17:50:00+02:00,Di,17,Meidling,S3
2026-06-09T18:09:00+02:00,Di,18,Praterstern,R3
2026-06-09T19:09:00+02:00,Di,19,Meidling,REX3
2026-06-09T19:39:00+02:00,Di,19,Meidling,REX3
2026-06-09T19:50:00+02:00,Di,19,Praterstern,REX3
2026-06-09T21:23:00+02:00,Di,21,Meidling,S1
2026-06-09T21:30:00+02:00,Di,21,Praterstern,REX1
2026-06-09T21:50:00+02:00,Di,21,Praterstern,REX3
2026-06-09T22:39:00+02:00,Di,22,Meidling,REX3
2026-06-09T22:33:00+02:00,Di,22,Praterstern,S1
2026-06-10T06:27:00+02:00,Mi,06,Praterstern,S3
2026-06-10T06:57:00+02:00,Mi,06,Praterstern,S3
2026-06-10T07:12:00+02:00,Mi,07,Meidling,S2
2026-06-10T08:20:00+02:00,Mi,08,Meidling,S3
